type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
เขต,ลำปาง,งาว,นาแก,6,280,177,15,0,88
เขต,ลำปาง,งาว,บ้านร้อง,1,440,281,26,9,124
เขต,ลำปาง,งาว,บ้านร้อง,10,440,232,17,12,179
เขต,ลำปาง,งาว,บ้านร้อง,11,300,213,9,3,75
เขต,ลำปาง,งาว,บ้านร้อง,12,360,183,23,2,152
เขต,ลำปาง,งาว,บ้านร้อง,2,520,310,26,9,175
เขต,ลำปาง,งาว,บ้านร้อง,3,520,298,28,8,186
เขต,ลำปาง,งาว,บ้านร้อง,4,360,233,15,6,106
เขต,ลำปาง,งาว,บ้านร้อง,5,520,329,37,13,141
เขต,ลำปาง,งาว,บ้านร้อง,6,220,127,13,1,79
เขต,ลำปาง,งาว,บ้านร้อง,7,320,186,18,3,113
เขต,ลำปาง,งาว,บ้านร้อง,8,200,134,8,2,56
เขต,ลำปาง,งาว,บ้านร้อง,9,400,190,23,10,177
เขต,ลำปาง,งาว,บ้านหวด,1,340,217,10,7,106
เขต,ลำปาง,งาว,บ้านหวด,2,540,307,17,10,206
เขต,ลำปาง,งาว,บ้านหวด,3,620,324,27,10,259
เขต,ลำปาง,งาว,บ้านหวด,4,580,296,25,12,247
เขต,ลำปาง,งาว,บ้านหวด,5,760,405,35,16,304
เขต,ลำปาง,งาว,บ้านหวด,6,480,281,30,13,156
เขต,ลำปาง,งาว,บ้านหวด,7,340,194,20,12,114
เขต,ลำปาง,งาว,บ้านอ้อน,1,440,269,18,14,139
เขต,ลำปาง,งาว,บ้านอ้อน,3,560,368,12,11,169
เขต,ลำปาง,งาว,บ้านอ้อน,4,500,322,19,6,153
เขต,ลำปาง,งาว,บ้านอ้อน,5,400,158,27,11,204
เขต,ลำปาง,งาว,บ้านอ้อน,6,420,271,18,6,125
เขต,ลำปาง,งาว,บ้านอ้อน,8,160,104,8,0,48
เขต,ลำปาง,งาว,บ้านแหง,1,660,395,26,19,220
เขต,ลำปาง,งาว,บ้านแหง,2,460,324,23,11,102
เขต,ลำปาง,งาว,บ้านแหง,3,700,490,26,8,176
เขต,ลำปาง,งาว,บ้านแหง,4,520,358,29,19,114
เขต,ลำปาง,งาว,บ้านแหง,5,500,334,18,17,131
เขต,ลำปาง,งาว,บ้านแหง,6,500,324,26,5,145
เขต,ลำปาง,งาว,บ้านแหง,7,260,188,5,5,62
เขต,ลำปาง,งาว,บ้านแหง,8,540,314,31,12,183
เขต,ลำปาง,งาว,บ้านแหง,9,640,414,27,5,194
เขต,ลำปาง,งาว,บ้านโป่ง,1,480,249,21,17,193
เขต,ลำปาง,งาว,บ้านโป่ง,10,460,266,20,16,158
เขต,ลำปาง,งาว,บ้านโป่ง,11,360,199,12,7,142
เขต,ลำปาง,งาว,บ้านโป่ง,12,420,265,14,13,128
เขต,ลำปาง,งาว,บ้านโป่ง,2,440,242,37,3,158
เขต,ลำปาง,งาว,บ้านโป่ง,3,340,214,11,4,111
เขต,ลำปาง,งาว,บ้านโป่ง,4,400,216,18,11,155
เขต,ลำปาง,งาว,บ้านโป่ง,5,520,328,16,11,165
เขต,ลำปาง,งาว,บ้านโป่ง,6,500,243,29,11,217
เขต,ลำปาง,งาว,บ้านโป่ง,7,360,208,18,1,133
เขต,ลำปาง,งาว,บ้านโป่ง,8,380,236,13,11,120
เขต,ลำปาง,งาว,บ้านโป่ง,9,420,250,21,21,128
เขต,ลำปาง,งาว,ปงเตา,1,500,279,20,3,198
เขต,ลำปาง,งาว,ปงเตา,10,180,89,23,2,66
เขต,ลำปาง,งาว,ปงเตา,11,260,125,4,2,129
เขต,ลำปาง,งาว,ปงเตา,12,380,236,8,3,133
เขต,ลำปาง,งาว,ปงเตา,2,560,330,9,8,213
เขต,ลำปาง,งาว,ปงเตา,3,280,156,16,9,99
เขต,ลำปาง,งาว,ปงเตา,4,460,292,11,7,150
เขต,ลำปาง,งาว,ปงเตา,5,640,398,20,11,211
เขต,ลำปาง,งาว,ปงเตา,6,360,201,16,8,135
เขต,ลำปาง,งาว,ปงเตา,7,380,174,18,5,183
เขต,ลำปาง,งาว,ปงเตา,8,360,235,12,9,104
เขต,ลำปาง,งาว,ปงเตา,9,440,269,15,2,154
เขต,ลำปาง,งาว,หลวงเหนือ,1,380,243,15,8,114
เขต,ลำปาง,งาว,หลวงเหนือ,2,440,286,16,6,132
เขต,ลำปาง,งาว,หลวงเหนือ,4,500,284,8,24,184
เขต,ลำปาง,งาว,หลวงเหนือ,5,540,323,16,22,179
เขต,ลำปาง,งาว,หลวงเหนือ,6,560,340,18,19,183
เขต,ลำปาง,งาว,หลวงเหนือ,7,240,152,13,3,72
เขต,ลำปาง,งาว,หลวงใต้,1,600,368,25,13,194
เขต,ลำปาง,งาว,หลวงใต้,2,740,405,32,25,278
เขต,ลำปาง,งาว,หลวงใต้,3,480,323,14,14,129
เขต,ลำปาง,งาว,หลวงใต้,4,320,206,4,13,97
เขต,ลำปาง,งาว,หลวงใต้,5,580,354,20,14,192
เขต,ลำปาง,งาว,หลวงใต้,6,760,443,25,13,279
เขต,ลำปาง,งาว,หลวงใต้,7,340,223,12,4,101
เขต,ลำปาง,งาว,หลวงใต้,8,420,276,22,7,115
เขต,ลำปาง,งาว,แม่ตีบ,1,460,269,15,6,170
เขต,ลำปาง,งาว,แม่ตีบ,2,480,319,18,5,138
เขต,ลำปาง,งาว,แม่ตีบ,3,440,278,21,8,133
เขต,ลำปาง,งาว,แม่ตีบ,4,500,339,17,8,136
เขต,ลำปาง,งาว,แม่ตีบ,5,520,321,16,7,176
เขต,ลำปาง,งาว,แม่ตีบ,6,660,502,24,9,125
เขต,ลำปาง,งาว,แม่ตีบ,7,320,210,12,4,94
บช,ลำปาง,งาว,นาแก,1,300,198,8,8,86
บช,ลำปาง,งาว,นาแก,2,700,413,22,13,252
บช,ลำปาง,งาว,นาแก,3,360,228,10,6,116
บช,ลำปาง,งาว,นาแก,4,460,308,15,6,131
บช,ลำปาง,งาว,นาแก,5,640,449,21,11,159
บช,ลำปาง,งาว,นาแก,6,280,183,9,0,88
บช,ลำปาง,งาว,บ้านร้อง,1,440,294,15,7,124
บช,ลำปาง,งาว,บ้านร้อง,10,440,242,13,6,179
บช,ลำปาง,งาว,บ้านร้อง,11,300,217,7,1,75
บช,ลำปาง,งาว,บ้านร้อง,12,360,191,14,3,152
บช,ลำปาง,งาว,บ้านร้อง,13,240,138,9,0,93
บช,ลำปาง,งาว,บ้านร้อง,2,520,310,28,7,175
บช,ลำปาง,งาว,บ้านร้อง,3,520,302,25,7,186
บช,ลำปาง,งาว,บ้านร้อง,4,360,234,17,3,106
บช,ลำปาง,งาว,บ้านร้อง,5,520,338,28,13,141
บช,ลำปาง,งาว,บ้านร้อง,6,220,129,11,1,79
บช,ลำปาง,งาว,บ้านร้อง,7,320,190,14,3,113
